Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
14-Aug-2024,2927.1,2944,2907.4,2923.7,3133733
13-Aug-2024,2921.5,2940.15,2916,2927.25,3132532
12-Aug-2024,2940,2946,2915.5,2921.25,4092292
09-Aug-2024,2920,2953,2912,2948.6,3124888
08-Aug-2024,2915.05,2930,2891.85,2898.25,6193596
07-Aug-2024,2938,2945,2923,2929.65,4087284
06-Aug-2024,2910.3,2955,2902.65,2912.1,5118093
05-Aug-2024,2960,2967.8,2866.5,2894.65,8523352
02-Aug-2024,3010,3018.65,2986.55,2998.65,5134124
01-Aug-2024,3024,3036,3008.6,3030.6,5382111
31-Jul-2024,3008,3020.9,3002.3,3010.85,5028673
30-Jul-2024,3034.05,3050,3020,3026.3,4114104
29-Jul-2024,3023.9,3055,3023.55,3040.2,3769275
26-Jul-2024,2984.8,3024.85,2980.7,3018.05,4929970
25-Jul-2024,2962,3000.95,2954.15,2984.8,6259938
24-Jul-2024,2970,3019,2952.8,2991.4,5956681
23-Jul-2024,3002,3011.5,2926,2975.8,9026022
22-Jul-2024,3074.5,3075,2998.55,3001.35,9837188
19-Jul-2024,3172,3179.95,3105.6,3110.3,6570195
18-Jul-2024,3152,3187.8,3115.65,3173.35,6149187
16-Jul-2024,3187,3200,3138.25,3152.5,4693419
15-Jul-2024,3208.9,3211.7,3171,3194.45,2664844
12-Jul-2024,3169,3210.3,3149,3193.45,6462392
11-Jul-2024,3175,3208.5,3141,3161.3,5970473
10-Jul-2024,3190,3195,3126.3,3168.45,3567289
09-Jul-2024,3195.2,3201,3161,3180.55,3480001
08-Jul-2024,3178,3217.6,3165.05,3201.8,4750403
05-Jul-2024,3107.65,3197,3096,3177.25,6134855
04-Jul-2024,3114,3135,3101.6,3108.05,3418588
03-Jul-2024,3132.65,3150,3085.55,3104.85,4524810
02-Jul-2024,3139,3147,3114,3130.35,3874623
01-Jul-2024,3125.05,3158.8,3111.35,3120.3,3862153
28-Jun-2024,3062.05,3162,3062.05,3130.8,14478668
27-Jun-2024,3027.5,3075,3012,3061.1,14191515
26-Jun-2024,2892.1,3037.95,2890.25,3028.05,11007441
